S.No,Title,Source,URL
1,"Indian stock market: 10 things that changed for market overnight- Gift Nifty, US tariffs, OpenAI-AMD deal to gold prices",Mint,https://www.livemint.com/market/stock-market-news/indian-stock-market-10-things-that-changed-for-market-overnight-gift-nifty-us-tariffs-openai-amd-deal-to-gold-prices-11759801562940.html
2,Pak's remarks on Kashmiri women security gets big reply from India at UNSC: ‘Delusional tirade’,Hindustan Times,https://www.hindustantimes.com/india-news/delusional-tirade-india-hits-back-at-pakistan-at-unsc-this-time-on-women-peace-and-security-operation-searchlight-101759798873159.html
3,Prashant Kishor says he’ll contest Bihar polls; Jan Suraaj Party to name candidates on October 9,The Hindu,https://www.thehindu.com/elections/bihar-assembly/prashant-kishor-says-hell-contest-bihar-polls-jan-suraaj-party-to-name-candidates-on-october-9/article70133718.ece
4,"'Their respect for Arab cultures...': Fans react as Deepika Padukone wears hijab, Ranveer Singh sports long beard in new ad",Times of India,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/their-respect-for-arab-cultures-fans-react-as-deepika-padukone-wears-hijab-ranveer-singh-sports-long-beard-in-new-ad/articleshow/124351161.cms
5,"New record! South Africa's Tazmin Brits surpasses Smriti Mandhana, becomes first batter ever to...",Times of India,https://timesofindia.indiatimes.com/sports/cricket/icc-womens-world-cup-2025/new-record-south-africas-tazmin-brits-surpasses-smriti-mandhana-becomes-first-batter-ever-to-/articleshow/124351153.cms
6,"More trouble for doctor accused in Madhya Pradesh cough syrup deaths, police zoom in on ‘family’s pharmacy’",The Indian Express,https://indianexpress.com/article/india/more-trouble-for-doctor-accused-in-madhya-pradesh-cough-syrup-deaths-police-zoom-in-on-familys-pharmacy-10291931/
7,"With poll dates announced, why the Supreme Court may not intervene in Bihar SIR - for now",The Indian Express,https://indianexpress.com/article/political-pulse/bihar-poll-dates-out-little-room-for-judicial-intervention-in-sir-for-now-10291503/
8,"No Baahubali 3 announcement at the end of Baahubali The Epic, but…..",123telugu.com,https://www.123telugu.com/mnews/no-baahubali-3-announcement-at-the-end-of-baahubali-the-epic-but-prp.html
9,38% of Indians have fatty liver: Doctor suggests 5 signs of fatty liver one can check at home,Times of India,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/38-of-indians-have-fatty-liver-doctor-suggests-5-signs-of-fatty-liver-one-can-check-at-home/photostory/124348167.cms
10,The simple exercise that can add years to your life and keep you healthier as you age,Times of India,https://timesofindia.indiatimes.com/life-style/health-fitness/fitness/the-simple-exercise-that-can-add-years-to-your-life-and-keep-you-healthier-as-you-age/articleshow/124347433.cms
